url,title,nodes_number
https://www.youtube.com/watch?v=1odgyAkhjRI,"Маша Чакчурина — бухгалтерия, астрофизика, свой курс по Python | Подкаст | karpov.courses",18
https://www.youtube.com/watch?v=IwJgivQPG-o,Команда курса по ML – подробно о каждом модуле,17
https://www.youtube.com/watch?v=facQgiPlQeM,Поведенческое интервью | Behavioral Interview | Выпуск 1 | Валерий Бабушкин | karpov.courses,19
https://www.youtube.com/watch?v=6d2xcN5Yy48,Матрицы и векторы,16
https://www.youtube.com/watch?v=8MzvjrWUJ_0,Снижение дисперсии через стратификацию Сuped | Валерий Бабушкин | Вводный урок | karpov.courses,16
https://www.youtube.com/watch?v=SHZlDNs9gFk,JOIN практика | Симулятор SQL | karpov.courses,14
https://www.youtube.com/watch?v=scVy8kUG4xM,Отзыв о курсе «Инженер данных» | karpov.courses,7
https://www.youtube.com/watch?v=XGFrnaYIbVQ,Анатолий Карпов – Как стать хорошим аналитиком | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=Eb7Q_qCAqM4,Знакомство с Python и Jupyter Hub | Аналитик данных | karpov.courses,18
https://www.youtube.com/watch?v=5j_4ztce86k,Как научиться считывать данные из таблиц? | Аналитик данных | karpov.courses,12
https://www.youtube.com/watch?v=vL4nhnhSTGo,Беслан Курашов — Нельзя быть до конца готовым к собеседованию в IT | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=LYZdQd48LF4,Продуктовые метрики | Симулятор SQL | karpov.courses,15
https://www.youtube.com/watch?v=QH44jyu3UFI,Применение массивов для решения прикладной задачи в ClickHouse | Мария Сомова | karpov.courses,15
https://www.youtube.com/watch?v=ChmbECud7g0,Максим Годзи о приёмах Data Science в продуктовой аналитике | Интервью | Часть 1 | karpov.courses,22
https://www.youtube.com/watch?v=-qxn4kTb2zg,Женя Лебедев — в IT без профильного образования | Подкаст | karpov.courses,21
https://www.youtube.com/watch?v=pvhvYwjyzts,О требованиях к Junior-аналитику | Мария Жавадова | karpov.courses,10
https://www.youtube.com/watch?v=PZoueQ9kjCU,System Design с Валерием Бабушкиным | Выпуск 1 | Собеседование | karpov.courses,12
https://www.youtube.com/watch?v=4EqriO-2aZM,Сравнение подходов ETL и ELT | Дина Сафина | karpov.courses,4
https://www.youtube.com/watch?v=2QhJYIsAU7I,Зачем нужен курс Hard ML? | Валерий Бабушкин | karpov.courses,7
https://www.youtube.com/watch?v=TLOOlI2b38c,"Ярослав Баранов – хотел в науку, а попал в IT | Подкаст | karpov.courses",21
https://www.youtube.com/watch?v=y8A4eN0gt4c,Иван Бушмаринов — Из языковой школы в химлабораторию и Аналитику Яндекса | Подкаст | karpov.courses,17
