url,title,length,publish_date
https://www.youtube.com/watch?v=_ou0APbUd24,Ирина Чернега — работа в саппорте это работа с людьми | Подкаст | karpov.courses,4637,2023-03-21
https://www.youtube.com/watch?v=x75U0qUA4PM,Словари | Аналитик данных | karpov.courses,729,2020-09-13
https://www.youtube.com/watch?v=uqJV765l3sI,Автокорректор ошибок правописания на Python | Вебинар Яна Пиле | karpov.courses,5334,2020-09-29
https://www.youtube.com/watch?v=l23LHX4G5iM,Как изменились требования к Junior аналитикам данных | karpov.courses,312,2022-09-19
https://www.youtube.com/watch?v=McXzllkKWjk,Работа с Join в Pandas | Анатолий Карпов | karpov.courses,1552,2022-04-22
https://www.youtube.com/watch?v=0f5YzgnobNA,Redash | Симулятор SQL | karpov.courses,426,2023-07-06
https://www.youtube.com/watch?v=VPg2Uu1MYgI,ML System Design с Валерием Бабушкиным | Выпуск 1 | Собеседование |  karpov.courses,3468,2021-08-03
https://www.youtube.com/watch?v=3ugO9ftG3uA,Задача о пустых полках в супермаркете | Александр Сахнов | karpov.courses,360,2021-05-05
https://www.youtube.com/watch?v=25QL56CxchQ,Беслан Курашов о работе в Яндексе и карьере аналитика | Интервью | karpov.courses,4299,2020-11-19
https://www.youtube.com/watch?v=rbIpf8fDYyE,Обзор курса «Инженер данных» | Евгений Ермаков (Яндекс.Go) | karpov.courses,438,2021-09-28
https://www.youtube.com/watch?v=HTBLj6GRVHI,Junior ML-инженер | Собеседование | karpov.courses,4413,2023-03-09
https://www.youtube.com/watch?v=zTGxoO1wSas,Федя Яковлев — из репетиторов в аналитики через ШАД | Подкаст | karpov.courses,3423,2022-01-26
https://www.youtube.com/watch?v=EM7RQhqhr34,Андрей Кротких — как попасть в IT из желания помогать людям | Подкаст | karpov.courses,3363,2022-01-10
https://www.youtube.com/watch?v=I5uSqwo91xA,JetBrains DataSpell IDE для Data Science | Анатолий Карпов | karpov.courses,814,2021-07-31
https://www.youtube.com/watch?v=GO9Gu_hfoD4,Оконные функции RANK и LAG | Симулятор SQL | karpov.courses,1248,2023-07-06
https://www.youtube.com/watch?v=CrR623MDBM0,"Павел Щербинин — о Сбермаркете, Mail.ru и Практикуме | Подкаст | karpov.courses",5604,2023-03-07
https://www.youtube.com/watch?v=gAYrmR8XalQ,О карьерном пути аналитика сегодня | Алексей Никушин | karpov.courses,265,2021-04-28
https://www.youtube.com/watch?v=RSsBpWwnE1o,Старт карьеры в аналитике | Взгляд HR | karpov.courses,1911,2021-11-21
https://www.youtube.com/watch?v=uMWuhEJ1obo,Иван Иванчей о машинном обучении и психологии | Интервью | karpov.courses,2525,2022-01-15
https://www.youtube.com/watch?v=Wngo-VHAF94,Дмитрий Охременко — из следователей в аналитики | Подкаст | karpov.courses,5448,2022-02-08
https://www.youtube.com/watch?v=vSr1OSYJuu4,"Ксюша Байдина — Пермь, Германия, Яндекс | Подкаст | karpov.courses",4681,2022-04-19
https://www.youtube.com/watch?v=RQGiMlcq4FE,DataLens: создание чартов и расчетные поля | karpov.courses,1647,2022-10-26
